Clinics,Description,Category,City,Country,rating,Review,Address,Phone_number,Availability,Site_url,Status_working,
HealthCity диагностическая клиника,· Diagnostic center,Gastroenterology clinics,Almaty,Kazakhstan,4.6,-224,Musabaev St 8,· 8 (778) 021 1977,⋅ Closes 4 PM,http://www.healthcity.kz/,Open,
"Медицинский центр Алгамед | анализ на коронавирус, УЗИ, справки Алматы",· Medical centre,Urology  clinics,Almaty,Kazakhstan,3.3,-93,Алматы,· 8 (727) 339 0350,Open 24 hours,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj80Lv1qOiLAxV-EKIDHRxQCZUYABAAGgJsZQ&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWp4-euLaVLph_h-Jly_h1PIdEbs7uumbACZZSqpLRGzrLUkGmInlLIaAhvTEALw_wcB&ohost=www.google.com&cid=CAESVeD2YbUwbmLpbYSP-LWMapeGKSk6m6dXVsne8HKL3Njt1b24bIr8dfwNDNk5lNPQQuBcxqqG06_zzyzNOSMHlCWPyZK24J8n13Pa4sQtpOpsHg1Sj4c&sig=AOD64_0n1J35Cij72t1Gzftx9JB7uid87g&q=&ctype=99&ved=2ahUKEwjukrf1qOiLAxUYAxAIHdhVGKUQhKwBegQIIRAP&adurl=,· Medical centre,
UROPRO Клиника мужского здоровья,· Urology clinic,Urology  clinics,Almaty,Kazakhstan,5,-1,Shevchenko St 148,· 8 (778) 888 1222,⋅ Closes 3 PM,https://uropro.kz/,Open,"""High quality and great helpful stuff"""
Urolog,· Urology clinic,Urology  clinics,Almaty,Kazakhstan,5,-9,Shevchenko St 153,· 8 (707) 113 0412,⋅ Closes 2 PM,,Open,
UROLOGIST Almaty ROUND THE CLOCK,· Urologist,Urology  clinics,Almaty,Kazakhstan,4,-9,Manas St 59,· 8 (707) 000 0103,,http://emirmed.kz/,Open 24 hours,
Urology Research Center,· Research institute,Urology  clinics,Almaty,Kazakhstan,3,-103,Basenov St 2,· 8 (7272) 22 15 15,⋅ Opens 9 AM Mon,,Closed,
"Медицинский центр On Clinic - Уролог, Проктолог, Гинеколог",· Urologist,Urology  clinics,Almaty,Kazakhstan,4.7,-163,"улица Ришата и Муслима, Abdulliny St 30",· 8 (707) 250 1005,⋅ Closes 2 PM,https://onclinic.kz/,Open,
"Медицинский центр On Clinic Алматы - Уролог, Проктолог, Гинеколог",· Urologist,Urology  clinics,Almaty,Kazakhstan,4.2,-202,Gabdullin St 94/132,· 8 (707) 250 1005,⋅ Closes 2 PM,http://onclinic.kz/,Open,
SEMA Hospital,· Hospital,Urology  clinics,Almaty,Kazakhstan,3.9,-267,Nauryzbai Batyr St 31,· 8 (727) 310 0103,⋅ Closes 6 PM,http://semahospital.kz/,Open,""" are very professional, helpful and friendly."""
Хирург Уролог | Андролог-сексопатолог,· Urologist,Urology  clinics,Almaty,Kazakhstan,5,-1,Abay Ave 115,8 (701) 710 4968,,,,
Институт урологии и трансплантологии,· Hospital,Urology  clinics,Almaty,Kazakhstan,5,-3,Tole Bi Street 289,· 8 (727) 373 0606,⋅ Closes 8 PM,http://www.densaulyk.kz/,Open,
Meditsinskiy Tsentr Talant-K,· Urology clinic,Urology  clinics,Almaty,Kazakhstan,4.8,-19,улица Алпамыс Батыра 28,· 8 (707) 487 3000,,https://medcentrtalant.kz/,Open 24 hours,
Private Clinic Almaty,· Medical clinic,Urology  clinics,Almaty,Kazakhstan,4.1,-154,"мкр. Мирас, 45",· 8 (700) 275 9900,⋅ Closes 10 PM,http://www.privateclinic.kz/,Open,"""Faultless and I made a full recovery."""
Urolog,· Urologist,Urology  clinics,Almaty,Kazakhstan,5,-1,Ulitsa Yelemesova 44а,,⋅ Closes 12 AM,,Open,
Helmir Hospital,· Medical Center,Urology  clinics,Almaty,Kazakhstan,4.2,-30,Жамакаева ул. 254/1,· 8 (727) 339 4040,,,Open 24 hours,"""They provide the best healthcare around the country."""
Keruen-medicus,· Medical Center,Urology  clinics,Almaty,Kazakhstan,2.8,-167,Bukhar-Zhyrau Blvd 45/1,· 8 (7272) 20 70 70,⋅ Closes 6 PM,http://keruen-medicus.kz/,Open,"""The procedure went by with no problem."""
Institut Reproduktivnoy Meditsiny,· Fertility clinic,Urology  clinics,Almaty,Kazakhstan,4.4,-39,Kabanbay Batyr St 226,· 8 (7272) 34 34 34,⋅ Closes 7 PM,https://irm.kz/,Open,
Многопрофильный медицинский центр Medical Park,· Medical Center,Urology  clinics,Almaty,Kazakhstan,4.1,-226,Rozybakiev Street 105Б,· 8 (727) 303 3333,⋅ 1 PM,http://medicalpark.kz/,Closes soon,
Respublikanskiy Semeyno-Vrachebnyy Tsentr,· Medical Center,Urology  clinics,Almaty,Kazakhstan,3.2,-32,Aiteke Bi St 83,· 8 (701) 258 8100,⋅ Closes 2 PM,https://rfmc.kz/,Open,
Репродуктивтік медицина институты ИРМ,· Reproductive health clinic,Urology  clinics,Almaty,Kazakhstan,4.3,-184,Tole Bi Street 99,· 8 (771) 934 3434,⋅ Closes 8 PM,http://irm.kz/,Open,
АО «Национальный научный центр хирургии им. А.Н. Сызганова»,· Medical clinic,Urology  clinics,Almaty,Kazakhstan,3.9,-228,Zheltoksan St 62,· 8 (7272) 79 22 40,⋅ 1 PM,,Closes soon,
Nauchnyy Urologitseskiy Tsentr,· Hospital,Urology  clinics,Almaty,Kazakhstan,4,-2,"город, Zharokov St 215",· 8 (7272) 46 52 10,⋅ Opens 8 AM Mon,http://urology.kz/,Closed,
Diagnosticheskiy Tsentr Orkhun Medikal/ Orhun Medical,· Medical Center,Urology  clinics,Almaty,Kazakhstan,3.1,-234,"ул. Казыбек би, дом 12В",,,https://orhun.kz/filialy/medicinskij-centr-na-kazybek-bi/,Open 24 hours,"""Quick efficient service."""
Scientific Center of the Pediatrics and Pediatric Surgery,· Hospital,Urology  clinics,Almaty,Kazakhstan,4.1,-165,Al-Farabi Avenue 146,· 8 (7272) 99 26 87,⋅ Opens 8 AM Mon,https://pediatria.kz/,Closed,
INVITRO медицинский центр,· Medical clinic,Urology  clinics,Almaty,Kazakhstan,5,-2,Al-Farabi Avenue 17/1,· 8 (700) 715 1515,⋅ Closes 7 PM,http://www.invitro.kz/,Open,
Ali Med,· Medical Center,Urology  clinics,Almaty,Kazakhstan,4,-14,Sharipov St уг,· 8 (7272) 92 65 13,⋅ Closes 4 PM,,Open,
Достар Мед,· Medical Center,Urology  clinics,Almaty,Kazakhstan,3,-438,ул.Сеченева 28,· 8 (727) 344 0303,⋅ Closes 10 PM,http://dostarmed.kz/,Open,
EMIRMED,· Medical clinic,Urology  clinics,Almaty,Kazakhstan,3.2,-125,Rozybakiev Street 37В,· 8 (708) 911 4038,,https://emirmed.kz/,Open 24 hours,"""The best in Central Asia!"""
Tsentr Po Profilaktike I Bor'be So Spid,· HIV testing center,Urology  clinics,Almaty,Kazakhstan,3.3,-15,"есть в 2 гис, Басенов көшесі 2 корпус, Zharokov St уг",· 8 (7272) 46 53 36,⋅ Opens 8:30 AM Mon,https://gcaids.kz/ru/kontakty,Closed,
ASTANA VISION,· Ophthalmology Clinic,Ophthalmology  clinics,Almaty,Kazakhstan,4.7,-92,Алматы,· 8 (705) 924 3600,⋅ Closes 5 PM,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjNzIfYqeiLAxXqWJEFHQ7-ASAYABAHGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWpvGmInhcZTY571fqIocO2Q9zCFdwnOEwcX3ocbM21NcHbPHJdbzJwaAl0GEALw_wcB&ohost=www.google.com&cid=CAESVeD20f-xl4-b1eDgnMu_FzqL6_sOKVPVu3RffLJcUYZbhHKRkMtx5KjOlVh_9uf2lK4CNMzwA1E0FzSVybqlMxwnlrvG8k05Pl8n6DwElZ0wiySFpjg&sig=AOD64_0IrWwPkK1aVa5wO-O2cn9ZNVWTkg&q=&ctype=99&ved=2ahUKEwjv34LYqeiLAxVQJBAIHQiGE6sQhKwBegQIJBAP&adurl=,Open,
EYE Clinic,· Eye care center,Ophthalmology  clinics,Almaty,Kazakhstan,3.5,-14,Zhambyl St 98,· 8 (701) 777 1062,⋅ Closes 5 PM,https://www.instagram.com/eyeclinic.kz,Open,
EyeDoctor - глазная клиника Молокотина,· Ophthalmology clinic,Ophthalmology  clinics,Almaty,Kazakhstan,4.8,-93,Abish Kekilbayuly St 264,· 8 (778) 025 4400,⋅ Closes 4 PM,https://www.eyedoctor.kz/,Open,
Лечение косоглазия и зрения ORTOPTIC Алматы,· Ophthalmology clinic,Ophthalmology  clinics,Almaty,Kazakhstan,4.6,-40,микрорайон 8 дом 8,· 8 (707) 743 6888,⋅ Closes 3 PM,https://ortoptic.kz/,Open,
Focus Офтальмологический центр,· Ophthalmology clinic,Ophthalmology  clinics,Almaty,Kazakhstan,4.1,-63,Seyfullin Avenue 450/130,· 8 (727) 337 7080,⋅ Closes 2 PM,http://focuseyecenter.kz/,Open,
ASTANA VISION,· Ophthalmology clinic,Ophthalmology  clinics,Almaty,Kazakhstan,4.7,-93,Ulitsa Karasay Batyra 72Б,· 8 (747) 623 5268,⋅ Closes 5 PM,https://almaty.vision.kz/,Open,
"НЦ ""Институт глаза Lucy""",· Eye care center,Ophthalmology  clinics,Almaty,Kazakhstan,4.5,-49,Gogol St 253/5,· 8 (747) 095 9595,⋅ Closes 5 PM,https://lucyclinic.kz/,Open,
OKulist Clinic,· Ophthalmologist,Ophthalmology  clinics,Almaty,Kazakhstan,5,-8,"БЦ Нурлы Тау, корпус 5А, (нижнее крыло)",· 8 (7272) 77 70 77,⋅ Closes 4 PM,http://okulist.kz/,Open,
Oftal'mologicheskiy Tsentr Konovalova,· Eye care center,Ophthalmology  clinics,Almaty,Kazakhstan,3.2,-159,Kurmangazy St 93/1,· 8 (705) 879 9999,⋅ Closes 2 PM,http://www.eyes.kz/,Open,
Oftal'mologicheskiy Tsentr Doktora Kurbanova,· Eye care center,Ophthalmology  clinics,Almaty,Kazakhstan,4.4,-28,Tolebaev St 38,· 8 (707) 250 1731,⋅ 1 PM,,Closes soon,
Oftal'mologicheskiy Tsentr Konovalova,· Eye care center,Ophthalmology  clinics,Almaty,Kazakhstan,4.2,-5,Shevchenko St 186,· 8 (7272) 21 77 77,⋅ Closes 4 PM,http://eyes.kz/,Open,
«OFTUM ALMATY» Европейский Центр Лазерной Коррекции Зрения,· Ophthalmology clinic,Ophthalmology  clinics,Almaty,Kazakhstan,4.4,-8,Tchaikovsky St 149,· 8 (775) 888 1011,⋅ Closes 2 PM,http://www.oftum.kz/,Open,
OSCAR CLINIC,· Ophthalmologist,Ophthalmology  clinics,Almaty,Kazakhstan,5,-6,Ulitsa Alty-Alash-1 36/4,,,,,
Международный Центр Охраны Зрения,· Medical Center,Ophthalmology  clinics,Almaty,Kazakhstan,4.3,-74,"Gagarin Ave 46, 050009",· 8 (707) 220 1122,⋅ 1 PM,,Closes soon,
"Perfect Vision Глазная клиника, Офтальмологический центр, Хирургия катаракты, Коррекция зрения, Диагностика зрения",· Ophthalmology clinic,Ophthalmology  clinics,Almaty,Kazakhstan,5,-2,Eniseyskaya St 29/1,· 8 (700) 389 7878,⋅ Opens 9 AM Mon,https://perfectvision.kz/,Closed,
Ночные линзы/ Офтальмолог (Окулист) Алматы,· Ophthalmologist,Ophthalmology  clinics,Almaty,Kazakhstan,5,-1,Рабат 46,· 8 (700) 415 8704,⋅ Closes 6 PM,https://ai-medicus.kz/konsultacziya-oftalmologa/,Open,
"Офтальмологическая клиника ""Көзқарас""",· Ophthalmology clinic,Ophthalmology  clinics,Almaty,Kazakhstan,3.4,-15,Gogol St 49,· 8 (700) 315 0954,⋅ Opens 8:30 AM Mon,,Closed,
Глазной Институт,· Hospital,Ophthalmology  clinics,Almaty,Kazakhstan,3.2,-88,толе би байтурсынова,· 8 (7272) 79 54 36,⋅ Closes 4:30 PM,http://eyeinst.kz/,Open,
Офтальмологическая клиника ES Optical,· Doctor,Ophthalmology  clinics,Almaty,Kazakhstan,3.8,-8,Baytursynova St 33,· 8 (7272) 33 09 71,⋅ Closes 6 PM,https://esoptical.kz/,Open,
Mikrokhirurgiya Glaza Doktora Kuralovoy,· Medical clinic,Ophthalmology  clinics,Almaty,Kazakhstan,3.5,-2,Tole Bi Street 156,8 (727) 378 2211,,,,
ASTANA VISION,· Ophthalmology Clinic,Ophthalmology  clinics,Almaty,Kazakhstan,4.7,-92,Алматы,· 8 (705) 924 3600,⋅ Closes 5 PM,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjs5K3kqeiLAxWsQJEFHavMK5QYABAHGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWqSKVy960a7-5oucvn12WazqdaE8w30MGD7xgYJQXJQkLzx1STX6TgaAjzdEALw_wcB&ohost=www.google.com&cid=CAESVeD2d_E-n8Lz6oCba9Tq-gWirqAnQOCZY3Y1b1cmxxMBwh4OYlJRfxZRp6OAcE3NnPxBm3FAhAB7hjzUTVNvrogPZx446tImMs8P4O9TZJz3cjV1Z6I&sig=AOD64_3nlYnHUiHx7Eoz0kqIo-8ThOTNfQ&q=&ctype=99&ved=2ahUKEwiH56jkqeiLAxX_FBAIHQdECNI4FBCErAF6BAgcEA8&adurl=,Open,
"Медицинский центр On Clinic - Уролог, Проктолог, Гинеколог",· Ophthalmologist,Ophthalmology  clinics,Almaty,Kazakhstan,4.7,-163,"улица Ришата и Муслима, Abdulliny St 30",· 8 (707) 250 1005,⋅ Closes 2 PM,https://onclinic.kz/,Open,
Kazakh Institute of Eye Diseases,· Hospital,Ophthalmology  clinics,Almaty,Kazakhstan,3.2,-174,Tole Bi Street 95а,· 8 (727) 341 0771,⋅ Closes 2 PM,http://eyeinst.kz/,Open,
"Глазная клиника ""Ocumed"" көз емдеу клиникасы",· Medical Center,Ophthalmology  clinics,Almaty,Kazakhstan,3,-2,Almaty,· 8 (700) 303 4060,⋅ Closes 3 PM,http://ocumedalmaty.kz/,Open,
Meditsinskiy Tsentr Medina,· Ophthalmologist,Ophthalmology  clinics,Almaty,Kazakhstan,3.1,-9,Suyunbai Ave 19,· 8 (727) 344 0744,⋅ Closes 5 PM,http://med-medina.obiz.ru/?utm_source=gmb,Open,
Glaznaya Klinika,· Ophthalmologist,Ophthalmology  clinics,Almaty,Kazakhstan,3.1,-19,Kozhamkulov St 166,· 8 (727) 383 6030,⋅ Opens 8:30 AM Mon,http://www.eyeinst.kz/,Closed,
Medoptika,· Optician,Ophthalmology  clinics,Almaty,Kazakhstan,4,-37,Suyunbai Ave 19,· 8 (727) 344 0744,⋅ Closes 6 PM,http://medoptika.kz/,Open,
"Медицинский центр Алгамед | анализ на коронавирус, УЗИ, справки Алматы",· Ophthalmologist,Ophthalmology  clinics,Almaty,Kazakhstan,3.3,-93,Abay Ave 157А,· 8 (707) 220 6801,,http://algamed.kz/,Open 24 hours,
Tsentr Semeynoy Oftal'mologii,· Hospital,Ophthalmology  clinics,Almaty,Kazakhstan,3.7,-3,Masanchi St 76,· 8 (777) 111 0178,⋅ Opens 9:30 AM Mon,,Closed,
Medoptika,· Optician,Ophthalmology  clinics,Almaty,Kazakhstan,4,-5,Tole Bi Street 156,· 8 (727) 344 0744,⋅ Closes 6 PM,http://www.medoptika.kz/,Open,
M-Optika,· Ophthalmologist,Ophthalmology  clinics,Almaty,Kazakhstan,3.7,-3,Altynsarin Ave 81,,,,,
KRAFT Optik,· Optician,Ophthalmology  clinics,Almaty,Kazakhstan,5,-2,"8X87+G45, Eniseyskaya St",· 8 (707) 389 5558,⋅ Closes 5 PM,Open,https://www.instagram.com/invites/contact/?i=tx006htxoe08&utm_content=7unseox,
Клиника Villa Kids Clinic,· Medical Center,Ophthalmology  clinics,Almaty,Kazakhstan,4,-4,Al-Farabi Avenue 140A,· 8 (776) 004 0140,,Open 24 hours,,
ASTANA VISION,· Ophthalmology Clinic,Dermatology clinics,Almaty,Kazakhstan,4.7,-92,Алматы,· 8 (705) 924 3600,⋅ Closes 5 PM,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiLn4_FquiLAxXsZJEFHU2MBAAYABAHGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWp1rNj84RUc2U1gn_JltV-dqUHR51RryOkx1HpaxGpMWaW6W4GGxPsaAstuEALw_wcB&ohost=www.google.com&cid=CAESVeD2euYe22N41mJ2tI11KA7SNttnbKQbg3oaFSaqX2zkBMfJj71eFzA1LzILsTlpwHm3N3NtmhoIj_E2Yg-Qi4TdRBlCJJE3b4knrknSOkOgAFqgCuc&sig=AOD64_3d2ILLLPPB5eu_5_Q9jYn1wT0_eg&q=&ctype=99&ved=2ahUKEwjr04rFquiLAxWAGBAIHXUwB7gQhKwBegQIJRAP&adurl=,Open,
Medical Center of Dermatology,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,3.8,-78,Gagarin Ave 202,· 8 (727) 337 8560,⋅ Closes 6 PM,http://mcd.kz/,Open,
Skin clinic - Клиника Лазерной Косметологии,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4.6,-8,Kazybek Bi St 148,· 8 (776) 294 4949,⋅ Closes 6 PM,,Open,
Allergo Clinic,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4,-117,Navoi St 208,· 8 (701) 312 1312,⋅ Closes 7:30 PM,https://www.allergoclinic.kz/,Open,
Acne Doctor,· Skin care clinic,Dermatology clinics,Almaty,Kazakhstan,5,-12,Zhybek-Zholy Street 50,· 8 (777) 830 1818,⋅ Closes 4 PM,,Open,
SOS dermatology centre,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,3,-4,Baytursynova St 9,· 8 (707) 710 2063,⋅ Opens 9 AM Mon,http://dermatology.kz/,Closed,
Медицинский центр дерматологии Алматы филиал,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4.2,-32,Shevchenko St 154,· 8 (727) 377 5112,⋅ Closes 6 PM,http://mcd.kz/,Open,
"""TCLINIC"" Клиника трихологии. Лечение волос, кожи головы, дерматология.",· Private hospital,Dermatology clinics,Almaty,Kazakhstan,4.5,-46,Nauryzbai Batyr St 50,· 8 (7272) 72 41 41,⋅ 1 PM,http://www.tclinic.kz/,Closes soon,
Meditsinskiy Tsentr Dermatologii Filial,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4.7,-15,"ЖК ""Солнечная долина "" 157 блок 1",· 8 (727) 311 1857,⋅ Closes 6 PM,http://mcd.kz/,Open,
Eleven Clinic,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,5,-3,Ulitsa Kasymova 32,,,,,
"Медицинский центр On Clinic Алматы - Уролог, Проктолог, Гинеколог",· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4.2,-202,Gabdullin St 94/132,· 8 (707) 250 1005,⋅ Closes 2 PM,http://onclinic.kz/,Open,
DR.Vesta,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,5,-1,Kabanbay Batyr St 239,· 8 (777) 898 8989,,https://2gis.kz/almaty/geo/70000001053408127,Open now,
"Медицинский центр On Clinic - Уролог, Проктолог, Гинеколог",· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4.7,-163,"улица Ришата и Муслима, Abdulliny St 30",· 8 (707) 250 1005,⋅ Closes 2 PM,https://onclinic.kz/,Open,
SMARTMED | Аллергоцентр Алматы | Аллерголог | Педиатр,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4.8,-12,Satpaev St 90/30,· 8 (708) 902 0202,⋅ Closes 2 PM,http://smart-med.clinic/,Open,
Klinika Oksany Malitskoy,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,3.8,-41,Baytursynova St 74,· 8 (775) 634 7911,⋅ Closes 5 PM,https://clinicmalitskaya.kz/,Open,
"Медицинский центр Алматы ""KAZBAYMED""",· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,5,-8,Zharokov St 126,· 8 (727) 392 3152,⋅ Closes 2 PM,,Open,
Altyn Medicus | Центр лазерной хирургии | Флебология | Проктология,· Vascular surgeon,Dermatology clinics,Almaty,Kazakhstan,4.9,-257,Manas St 7б,· 8 (700) 310 9888,⋅ Closes 2 PM,http://altynmed.kz/,Open,
"Meditsinskiy Tsentr On Klinik Almaty Urolog, Proktolog, Ginekolog",· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4.1,-58,Abay Ave 20/14,· 8 (707) 250 1005,⋅ Closes 2 PM,https://onclinic.kz/,Open,
Лор Практика,· Medical Center,Dermatology clinics,Almaty,Kazakhstan,4.9,-385,"ул. Розыбакиева 247, ж/к ""Вавилон"", корпус 4, помещение 189",· 8 (727) 311 3755,⋅ Closes 6 PM,https://lordoctor.kz/contacts,Open,
Tsentr Khidzhama V Almaty,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4.4,-69,Rayimbek Ave 212а/7,· 8 (707) 910 2847,⋅ Closes 7 PM,https://hijama.kz/,Open,
ASTANA VISION,· Ophthalmology Clinic,Dermatology clinics,Almaty,Kazakhstan,4.7,-92,Алматы,· 8 (705) 924 3600,⋅ Closes 5 PM,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjpsY_LquiLAxWbEKIDHdyGCMUYABAHGgJsZQ&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWod2VXcKAcsc03ug48uJSRkX64RDfXjEzZ8VHT4TtTonwl8m7TCqkIaAqBtEALw_wcB&ohost=www.google.com&cid=CAESVeD2-B2CBlEsSyWxIy6QVMhExZf8YU8nDTrnFbcOjYWuWS6Kt3PIAfajSKEiNslnbZBm4Nrd8EDcvnfw_uSK1SSswtki41Cp4cncvzo9ciWTgIRHBV8&sig=AOD64_2qmdg-4o14BwqgciqXQT9wd0IkoA&q=&ctype=99&ved=2ahUKEwikz4rLquiLAxWXFhAIHdU5HKY4FBCErAF6BAgiEA8&adurl=,Open,
Sofi Aesthetic,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,5,-5,Gagarin Ave 287 блок А,· 8 (707) 111 3896,⋅ Closes 7 PM,https://sofiaesthetic.com.kz/,Open,
Медицинский центр KAZMED,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,3.4,-62,мкр. Аксай-5 12А,· 8 (700) 511 1017,⋅ Opens 7 AM Mon,http://kazmedclinic.kz/,Closed,
"Булекбаева Гульнара Маратовна - дерматокосметолог, трихолог, хирург высшей категории",· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,5,-1,"Академия красоты Royal Med, Al-Farabi Avenue 21",· 8 (777) 261 6167,⋅ Opens 9 AM Mon,,Closed,
"«DVC», Научно-практический центр дерматовенерологии и косметологии: дерматолог, венеролог, трихолог, косметолог в Алматы",· Medical Center,Dermatology clinics,Almaty,Kazakhstan,4.7,-12,Gagarin Ave 250,· 8 (7272) 32 11 11,⋅ Closes 2 PM,http://dvc.kz/,Open,
Celine Clinic,· Skin care clinic,Dermatology clinics,Almaty,Kazakhstan,3.9,-7,Seifullin street 574/1,· 8 (771) 406 6621,,,Open 24 hours,
"Interna Clinic - Институт Гастроэнтерологии, гепатологии и метаболизма",· Medical clinic,Dermatology clinics,Almaty,Kazakhstan,4.7,-26,Bogenbai Batyr Street 248,· 8 (700) 711 0550,⋅ Closes 5 PM,https://internaclinic.kz/,Open,
Alfa Cosmo,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,5,-5,"пр. Аль-Фараби 13, БЦ ""Нурлы-Тау"", павильон 2В",· 8 (727) 311 1010,⋅ Closes 6 PM,http://alfacosmo.kz/,Open,
Tiffany Plaza,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4.6,-48,Mikrorayon Samal-2 58А,· 8 (701) 203 4224,⋅ Closes 8 PM,,Open,
EMIRMED,· Medical clinic,Dermatology clinics,Almaty,Kazakhstan,3.2,-125,Rozybakiev Street 37В,· 8 (708) 911 4038,,https://emirmed.kz/,Open 24 hours,
Тері-венерология диспансері,· Hospital,Dermatology clinics,Almaty,Kazakhstan,3.2,-105,Manas St 65,· 8 (7272) 74 01 95,⋅ Opens 8 AM Mon,http://almaty-kvd.kz/,Closed,
"Медицинский центр Алгамед | анализ на коронавирус, УЗИ, справки Алматы",· Medical Center,Dermatology clinics,Almaty,Kazakhstan,3.3,-93,Abay Ave 157А,· 8 (707) 220 6801,,http://algamed.kz/,Open 24 hours,
Beauty Cosmetology by Sahar & Vosk,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,5,-5,Sharipov St 145 к2,· 8 (701) 527 7788,⋅ Closes 9 PM,,Open,
Клиника Villa Kids Clinic,· Dermatologist,Dermatology clinics,Almaty,Kazakhstan,4,-4,Al-Farabi Avenue 140A,· 8 (776) 004 0140,,,Open 24 hours,
ASTANA VISION,· Ophthalmology Clinic,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,4.7,-92,Алматы,· 8 (705) 924 3600,⋅ Closes 5 PM,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjDpfmhrOiLAxU5UpEFHb8REOcYABAAGgJscg&co=1&gclid=Cj0KCQiA2oW-BhC2ARIsADSIAWqt0qLu4LUDYwJB27cHg9r-re115mgO8781ry2efen2loYjgJ3JgokaAny8EALw_wcB&ohost=www.google.com&cid=CAESVeD2sQ9wps0_-_TlhK326XoMR15X0XDxiuKekEjM4ZKdzQJUHX-mqMcFVYNYi5Ifxjd9bNl_GAUBaG--fmNxUazu2WfEcg_WjtG0RQW6WtCgt9cPLn4&sig=AOD64_1XSJYZmXPqH6pdKYuC5o92hvAp6w&q=&ctype=99&ved=2ahUKEwj6wPShrOiLAxVFFhAIHdOaPekQhKwBegQIIxAP&adurl=,Open,
ReActive Clinic,· Physical therapy clinic,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,5,-3,Gogol St 95,· 8 (775) 740 1405,⋅ 1 PM,"https://www.google.com/maps/dir//ReActive+Clinic,+Gogol+St+95,+Almaty+050059/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836fd31a13cc71:0x21f02d75be9deabc?sa=X&ved=1t:57443&ictx=111",Closes soon,
ПозвонОк,· Physical therapy clinic,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,5,-1,Ryskulbekov St 37,· 8 (707) 022 2081,⋅ Closes 7 PM,"https://www.google.com/maps/dir//%D0%9F%D0%BE%D0%B7%D0%B2%D0%BE%D0%BD%D0%9E%D0%BA,+Ryskulbekov+St+37,+Almaty/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3883699c5205b087:0x817fb7c3d5dfff34?sa=X&ved=1t:57443&ictx=111",Open,
ReNeuro,· Rehabilitation center,Physical Therapy & Rehabilitation Clinic,Almaty,Kazakhstan,4.7,-3,Abay Ave 187,· 8 (700) 357 3080,⋅ Closes 9 PM,"https://www.google.com/maps/dir//ReNeuro,+Abay+Ave+187,+Almaty+050013/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x38836f17970c9f9d:0x910f136fce92a2a1?sa=X&ved=1t:57443&ictx=111",Open,
